Az#,AzRG,Length,AzTeamCommonMailid1,AzTeamCommonMailid2,AzRegion,AzDestIP,AzResources,AzPortalAccess,AzRemark,Resources required to build solution,Any other resource (Please Specify)
1,TeamConEd,9,,,,,,,,,
2,Cloud3,6,,,,,,,,,
3,BITransformers,14,,,,,,,,,
4,Dotrix,6,,,,,,,,,
5,IndulgeAI,9,,,,,,,,,
6,DigitalTransformer,18,,,,,,,,,
7,MobileMavericks,15,,,,,,,,,
8,MetHack,7,,,,,,,,,
9,falcons,7,,,,,,,,,
10,CrackerJack,11,,,,,,,,,
11,Azure,5,,,,,,,,,
12,RLGThinkers,11,,,,,,,,,
13,ChubbEvolution,14,,,,,,,,,
14,AzureLearner,12,,,,,,,,,
15,PODPillars,10,,,,,,,,,
16,DataNerds,9,,,,,,,,,
17,ParallelTranscend,17,,,,,,,,,
18,InnovationAsServ,16,,,,,,,,,
19,CloudOfDuty,11,,,,,,,,,
20,VizGeeks,8,,,,,,,,,
21,Coronacoders,12,,,,,,,,,
22,FacetsDigitalInfra,18,,,,,,,,,
23,CryptoCoders,12,,,,,,,,,
24,LetsCode,8,,,,,,,,,
25,Omega,5,,,,,,,,,
26,CodeRiders,10,,,,,,,,,
27,CALIBERHACKATHON,16,,,,,,,,,
28,RLGTechnoWarriors,17,,,,,,,,,
29,StressBusters,13,,,,,,,,,
30,mycroft,7,,,,,,,,,
31,AIGator,7,,,,,,,,,
32,TheGrandPlan,12,,,,,,,,,
33,OutlierCodeHackers,18,,,,,,,,,
34,PayflexMusketeers,17,,,,,,,,,
35,Awalkintheclouds,16,,,,,,,,,
36,DataSquads,10,,,,,,,,,
37,REASSURE,8,,,,,,,,,
38,TheTitans,9,,,,,,,,,
39,Rekeyrockz,10,,,,,,,,,
40,RLGWallE,8,,,,,,,,,
41,UKTRIO,6,,,,,,,,,
42,GrepTribe,9,,,,,,,,,
43,CloudHackers,12,,,,,,,,,
44,MSFTWarriors,12,,,,,,,,,
45,DeltaY,6,,,,,,,,,
46,PragmaticSolutions,18,,,,,,,,,
47,Spartan,7,,,,,,,,,
48,CodeJammers,11,,,,,,,,,
49,LUDW,4,,,,,,,,,
50,Enablers,8,,,,,,,,,
51,AI30,4,,,,,,,,,
52,SparkFiddle,11,,,,,,,,,
53,RlgConquerors,13,,,,,,,,,
54,Caliber,7,,,,,,,,,
55,LearningTechies,15,,,,,,,,,
56,ChennaiCruzer,13,,,,,,,,,
57,StarTech,8,,,,,,,,,
58,BinGo,5,,,,,,,,,
59,Mavericks20,11,,,,,,,,,
60,EthicalHacker,13,,,,,,,,,
61,BLOCKDEV,8,,,,,,,,,
62,AzureCadets,11,,,,,,,,,
63,Anttroopers,11,,,,,,,,,
64,KochiTuskers,12,,,,,,,,,
65,CAbbott,7,,,,,,,,,
66,TechArmy,8,,,,,,,,,
67,AzureSearch,11,,,,,,,,,
68,TeamVideo,9,,,,,,,,,
69,PortalWarrier,13,,,,,,,,,
70,TechnoSapiens,13,,,,,,,,,
71,CloudChamps,11,,,,,,,,,
72,PAS,3,,,,,,,,,
73,Mavericks,9,,,,,,,,,
74,WWLDataAnalytics,16,,,,,,,,,
75,Ghilli,6,,,,,,,,,
76,Cloudify,8,,,,,,,,,
77,ferrari,7,,,,,,,,,
78,FOOTeam,7,,,,,,,,,
79,WalmartHackers,14,,,,,,,,,
80,Albatroz,8,,,,,,,,,
81,AzureRookies,12,,,,,,,,,
82,Spectrum,8,,,,,,,,,
83,IDW,3,,,,,,,,,
84,Newcomers,9,,,,,,,,,
85,Enthusiasts,11,,,,,,,,,
86,Thunderers,10,,,,,,,,,
87,Codeminers,10,,,,,,,,,
88,CognitiveSearchers,18,,,,,,,,,
89,3Wonders,8,,,,,,,,,
90,NullPointException,18,,,,,,,,,
